#
#
"# US Geological Survey, Water Resources Data"
# retrieved: 2014-02-06 16:21:33 EST      (nadww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
"# For more details on why the statistics may not match, visit http://nwis.waterdata.usgs.gov/nwis/?dv_statistics_disclaimer."
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 11458000 NAPA R NR NAPA CA
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd  Parameter Name                                  dd_nu   Location Name
"# 00060         Discharge, cubic feet per second                2       "
"# 80154         Suspended sediment concentration, milligrams per liter          4       "
"# 80155         Suspended sediment discharge, tons per day              5       "
#
# Data heading explanations.
# begin_yr_dt ... First complete year of data of daily mean values for this day.
# end_yr_dt   ... Last complete year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd       site_no parameter_cd    dd_nu   month_nu        day_nu  begin_yr        end_yr  count_nu        max_va_yr       max_va  min_va_yr       min_va  mean_va p05_va  p10_va  p20_va  p25_va  p50_va  p75_va  p80_va  p90_va  p95_va
5s      15s     5s      11n     3n      3n      6n      6n      8n      5n      12s     5n      12s     12s     12s     12s     12s     12s     12s     12s     12s     12s     12s
USGS    11458000        00060   2       2       19      1960    2013    54      1986    11400   1977    0.00    971     8.6     34      100     121     362     976     1080    2400    5640
USGS    11458000        00060   2       2       20      1960    2013    54      1986    5860    1977    0.00    802     9.2     33      94      124     329     924     1290    2690    3920
USGS    11458000        00060   2       2       21      1960    2013    54      1980    5960    1977    0.00    778     7.6     32      89      118     271     801     1020    2080    4070
USGS    11458000        00060   2       2       22      1960    2013    54      1998    3650    1977    3.2     602     5.9     30      96      119     280     699     993     1810    2580
USGS    11458000        00060   2       2       23      1960    2013    54      2009    3860    1991    4.7     607     5.8     29      102     115     250     715     998     1890    3150
USGS    11458000        00060   2       2       24      1960    2013    54      1993    2570    1977    1.8     524     5.4     28      96      114     254     791     954     1530    2000
USGS    11458000        00060   2       2       25      1960    2013    54      2004    4480    1991    0.03    585     4.1     27      95      109     238     821     1160    1490    2130
USGS    11458000        00060   2       2       26      1960    2013    54      2004    3240    1991    0.00    491     3.2     24      87      105     209     603     885     1120    2040
USGS    11458000        00060   2       2       27      1960    2013    54      1983    4220    1977    0.17    538     2.5     24      79      103     204     680     767     1640    2300
USGS    11458000        00060   2       2       28      1960    2013    54      1983    6770    1977    0.28    655     4.9     23      72      95      207     714     858     1610    3120
USGS    11458000        00060   2       2       29      1960    2012    14      1996    1560    1976    30      464             32      40      49      158     1000    1190    1520    
USGS    11458000        00060   2       3       1       1960    2013    54      1983    12400   1977    0.14    745     21      41      76      93      199     783     904     1320    3140
USGS    11458000        00060   2       3       2       1960    2013    54      1983    6590    1977    0.01    617     42      57      86      102     242     764     936     1510    2320
USGS    11458000        00060   2       3       3       1960    2013    54      1983    4610    1977    0.00    566     37      45      85      101     213     708     862     1570    2090
USGS    11458000        00060   2       3       4       1960    2013    54      1991    5790    1977    0.00    607     33      42      75      94      182     814     1010    1430    2810
USGS    11458000        00060   2       3       5       1960    2013    54      1978    3010    1977    0.00    579     29      40      80      91      268     903     956     1740    2240
USGS    11458000        00060   2       3       6       1960    2013    54      2006    6770    1977    0.00    578     22      48      84      92      292     723     840     1150    2060
USGS    11458000        00060   2       3       7       1960    2013    54      2006    3400    1977    0.00    476     19      47      77      89      290     610     725     1070    2060
USGS    11458000        00060   2       3       8       1960    2013    54      2006    2070    1977    0.00    442     17      44      72      80      267     539     667     1330    1810
USGS    11458000        00060   2       3       9       1960    2013    54      1995    19100   1977    0.00    753     16      42      74      85      245     534     671     1410    1860
USGS    11458000        00060   2       3       10      1960    2013    54      1995    15200   1977    0.00    685     15      41      77      79      229     510     663     1140    2120
USGS    11458000        00060   2       3       11      1960    2013    54      1995    7590    1977    0.00    512     14      40      74      82      228     509     550     950     2650
USGS    11458000        00060   2       3       12      1960    2013    54      1995    3100    1977    0.00    419     14      43      71      85      257     494     534     827     1750
USGS    11458000        00060   2       3       13      1960    2013    54      1983    11100   1977    0.00    606     27      44      77      88      290     553     639     1070    2070
USGS    11458000        00060   2       3       14      1960    2013    54      2012    3910    1977    0.00    486     21      43      75      85      269     500     542     1120    3080
USGS    11458000        00060   2       3       15      1960    2013    54      1986    3340    1977    0.08    456     19      40      83      99      291     455     504     1130    2180
